alumni_id,nim,nama_lengkap,nama_variasi,jenis_kelamin,tanggal_lahir,kota_asal,fakultas,prodi,angkatan,tahun_lulus,ipk,predikat,email,no_hp,kata_kunci_afiliasi,kata_kunci_konteks,target_role,instansi_terakhir,lokasi_terakhir,status_pelacakan,confidence_score,sumber_terakhir,tanggal_update
ALM-2018-01-001,201801001,Muhammad Hafiz Kusuma,Muhammad Hafiz Kusuma | M. Hafiz Kusuma | Muhammad H. | Hafiz Kusuma M.,L,2001-07-03,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.56,Cumlaude,muhammad.hafiz.kusuma1@alumni.umm.ac.id,089963334018,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,QA Engineer,PT Telkom Indonesia,Malang,Belum Dilacak,0.0,Belum Ada,2024-10-01
ALM-2018-01-002,201801002,Hafiz Dinda Kusuma,Hafiz Dinda Kusuma | H. Dinda Kusuma | Hafiz D. | Dinda Kusuma H.,L,2004-01-14,Batu,Fakultas Teknik,Informatika,2018,2022,3.72,Cumlaude,hafiz.dinda.kusuma2@alumni.umm.ac.id,084460967357,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Batu,QA Engineer,PT Astra International,Blitar,Belum Dilacak,0.0,Belum Ada,2022-02-13
ALM-2018-01-003,201801003,Rafi Putri Kurniawan,Rafi Putri Kurniawan | R. Putri Kurniawan | Rafi P. | Putri Kurniawan R.,L,2001-12-19,Malang,Fakultas Teknik,Informatika,2018,2023,3.39,Sangat Memuaskan,rafi.putri.kurniawan3@alumni.umm.ac.id,082625792787,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Malang,AI Engineer,PT BCA,Batu,Perlu Verifikasi Manual,0.57,Google Scholar,2025-02-02
ALM-2018-01-004,201801004,Arif Andi Kusuma,Arif Andi Kusuma | A. Andi Kusuma | Arif A. | Andi Kusuma A.,L,2008-09-19,Surabaya,Fakultas Teknik,Informatika,2018,2023,3.08,Sangat Memuaskan,arif.andi.kusuma4@alumni.umm.ac.id,082566942273,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Surabaya,Data Engineer,PT Astra International,Gresik,Teridentifikasi dari sumber publik,0.91,Belum Ada,2025-02-20
ALM-2018-01-005,201801005,Hafiz Farhan Hidayat,Hafiz Farhan Hidayat | H. Farhan Hidayat | Hafiz F. | Farhan Hidayat H.,L,2004-03-08,Jember,Fakultas Teknik,Informatika,2018,2022,3.94,Cumlaude,hafiz.farhan.hidayat5@alumni.umm.ac.id,083392080953,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,Data Engineer,PT Telkom Indonesia,Gresik,Perlu Verifikasi Manual,0.71,ResearchGate,2023-02-07
ALM-2018-01-006,201801006,Dinda Amelia Ramadhan,Dinda Amelia Ramadhan | D. Amelia Ramadhan | Dinda A. | Amelia Ramadhan D.,P,2008-12-02,Pasuruan,Fakultas Teknik,Informatika,2018,2022,3.07,Sangat Memuaskan,dinda.amelia.ramadhan6@alumni.umm.ac.id,087805745017,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Pasuruan,AI Engineer,PT Semen Indonesia,Kediri,Belum Dilacak,0.0,Belum Ada,2024-08-03
ALM-2018-01-007,201801007,Fajar Arif Hidayat,Fajar Arif Hidayat | F. Arif Hidayat | Fajar A. | Arif Hidayat F.,L,2007-11-19,Jember,Fakultas Teknik,Informatika,2018,2022,3.21,Sangat Memuaskan,fajar.arif.hidayat7@alumni.umm.ac.id,085047709743,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,Software Engineer,Startup Nusantara,Mojokerto,Teridentifikasi dari sumber publik,0.92,ORCID,2022-05-14
ALM-2018-01-008,201801008,Adit Muhammad Santoso,Adit Muhammad Santoso | A. Muhammad Santoso | Adit M. | Muhammad Santoso A.,L,2004-08-12,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.79,Cumlaude,adit.muhammad.santoso8@alumni.umm.ac.id,083615507143,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,Backend Developer,PT Astra International,Sidoarjo,Belum Dilacak,0.0,Belum Ada,2022-10-11
ALM-2018-01-009,201801009,Aulia Bagas Sari,Aulia Bagas Sari | A. Bagas Sari | Aulia B. | Bagas Sari A.,P,2008-11-08,Blitar,Fakultas Teknik,Informatika,2018,2022,2.82,Memuaskan,aulia.bagas.sari9@alumni.umm.ac.id,085067116918,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Blitar,Software Engineer,UMKM Digital Malang,Pasuruan,Perlu Verifikasi Manual,0.76,Website Perusahaan,2022-03-22
ALM-2018-01-010,201801010,Fitri Yusuf Santoso,Fitri Yusuf Santoso | F. Yusuf Santoso | Fitri Y. | Yusuf Santoso F.,P,2004-12-01,Batu,Fakultas Teknik,Informatika,2018,2023,3.91,Cumlaude,fitri.yusuf.santoso10@alumni.umm.ac.id,083962958940,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Batu,Data Engineer,PT Semen Indonesia,Kediri,Belum Dilacak,0.0,Belum Ada,2024-02-08
ALM-2018-01-011,201801011,Rizky Siti Pratama,Rizky Siti Pratama | R. Siti Pratama | Rizky S. | Siti Pratama R.,L,2005-08-06,Mojokerto,Fakultas Teknik,Informatika,2018,2022,3.46,Sangat Memuaskan,rizky.siti.pratama11@alumni.umm.ac.id,081030884438,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Mojokerto,Software Engineer,PT Bank Mandiri,Surabaya,Perlu Verifikasi Manual,0.73,LinkedIn,2024-04-09
