query_id,alumni_id,nim,prodi,angkatan,platform_target,query_text,query_type,created_at,scheduler_batch_id
Q-0000001,ALM-2018-01-001,201801001,Informatika,2018,Web Umum,"""Muhammad Hafiz Kusuma"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-01-22,BATCH-2018-W13
Q-0000002,ALM-2018-01-001,201801001,Informatika,2018,Web Umum,"""Muhammad Hafiz Kusuma"" ""Informatika"" ""UMM""",identity_major,2023-07-09,BATCH-2018-W13
Q-0000003,ALM-2018-01-001,201801001,Informatika,2018,Google Scholar,"""Muhammad Hafiz Kusuma"" site:scholar.google.com",academic_profile,2023-09-06,BATCH-2018-W13
Q-0000004,ALM-2018-01-001,201801001,Informatika,2018,ORCID,"""Muhammad Hafiz Kusuma"" ORCID",research_profile,2022-06-11,BATCH-2018-W13
Q-0000005,ALM-2018-01-001,201801001,Informatika,2018,LinkedIn,"""Muhammad Hafiz Kusuma"" ""Software Engineer"" ""Malang""",career_context,2024-04-25,BATCH-2018-W13
Q-0000006,ALM-2018-01-002,201801002,Informatika,2018,Web Umum,"""Hafiz Dinda Kusuma"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-10-26,BATCH-2018-W40
Q-0000007,ALM-2018-01-002,201801002,Informatika,2018,Web Umum,"""Hafiz Dinda Kusuma"" ""Informatika"" ""UMM""",identity_major,2024-07-12,BATCH-2018-W40
Q-0000008,ALM-2018-01-002,201801002,Informatika,2018,Google Scholar,"""Hafiz Dinda Kusuma"" site:scholar.google.com",academic_profile,2024-10-19,BATCH-2018-W40
Q-0000009,ALM-2018-01-002,201801002,Informatika,2018,ORCID,"""Hafiz Dinda Kusuma"" ORCID",research_profile,2023-03-22,BATCH-2018-W40
Q-0000010,ALM-2018-01-002,201801002,Informatika,2018,LinkedIn,"""Hafiz Dinda Kusuma"" ""Analyst"" ""Malang""",career_context,2022-04-16,BATCH-2018-W40
Q-0000011,ALM-2018-01-003,201801003,Informatika,2018,Web Umum,"""Rafi Putri Kurniawan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-01-12,BATCH-2018-W14
Q-0000012,ALM-2018-01-003,201801003,Informatika,2018,Web Umum,"""Rafi Putri Kurniawan"" ""Informatika"" ""UMM""",identity_major,2023-12-13,BATCH-2018-W14
Q-0000013,ALM-2018-01-003,201801003,Informatika,2018,Google Scholar,"""Rafi Putri Kurniawan"" site:scholar.google.com",academic_profile,2024-03-10,BATCH-2018-W14
Q-0000014,ALM-2018-01-003,201801003,Informatika,2018,ORCID,"""Rafi Putri Kurniawan"" ORCID",research_profile,2023-02-19,BATCH-2018-W14
Q-0000015,ALM-2018-01-003,201801003,Informatika,2018,LinkedIn,"""Rafi Putri Kurniawan"" ""Consultant"" ""Malang""",career_context,2025-03-01,BATCH-2018-W14
Q-0000016,ALM-2018-01-004,201801004,Informatika,2018,Web Umum,"""Arif Andi Kusuma"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-06-02,BATCH-2018-W48
Q-0000017,ALM-2018-01-004,201801004,Informatika,2018,Web Umum,"""Arif Andi Kusuma"" ""Informatika"" ""UMM""",identity_major,2023-10-07,BATCH-2018-W48
Q-0000018,ALM-2018-01-004,201801004,Informatika,2018,Google Scholar,"""Arif Andi Kusuma"" site:scholar.google.com",academic_profile,2025-02-23,BATCH-2018-W48
Q-0000019,ALM-2018-01-004,201801004,Informatika,2018,ORCID,"""Arif Andi Kusuma"" ORCID",research_profile,2024-01-21,BATCH-2018-W48
Q-0000020,ALM-2018-01-004,201801004,Informatika,2018,LinkedIn,"""Arif Andi Kusuma"" ""Analyst"" ""Malang""",career_context,2025-06-22,BATCH-2018-W48
Q-0000021,ALM-2018-01-005,201801005,Informatika,2018,Web Umum,"""Hafiz Farhan Hidayat"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-05-28,BATCH-2018-W21
Q-0000022,ALM-2018-01-005,201801005,Informatika,2018,Web Umum,"""Hafiz Farhan Hidayat"" ""Informatika"" ""UMM""",identity_major,2023-02-06,BATCH-2018-W21
Q-0000023,ALM-2018-01-005,201801005,Informatika,2018,Google Scholar,"""Hafiz Farhan Hidayat"" site:scholar.google.com",academic_profile,2022-04-10,BATCH-2018-W21
Q-0000024,ALM-2018-01-005,201801005,Informatika,2018,ORCID,"""Hafiz Farhan Hidayat"" ORCID",research_profile,2024-10-12,BATCH-2018-W21
Q-0000025,ALM-2018-01-005,201801005,Informatika,2018,LinkedIn,"""Hafiz Farhan Hidayat"" ""Software Engineer"" ""Malang""",career_context,2023-04-26,BATCH-2018-W21
Q-0000026,ALM-2018-01-006,201801006,Informatika,2018,Web Umum,"""Dinda Amelia Ramadhan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-10-11,BATCH-2018-W23
Q-0000027,ALM-2018-01-006,201801006,Informatika,2018,Web Umum,"""Dinda Amelia Ramadhan"" ""Informatika"" ""UMM""",identity_major,2022-03-01,BATCH-2018-W23
Q-0000028,ALM-2018-01-006,201801006,Informatika,2018,Google Scholar,"""Dinda Amelia Ramadhan"" site:scholar.google.com",academic_profile,2023-01-05,BATCH-2018-W23
Q-0000029,ALM-2018-01-006,201801006,Informatika,2018,ORCID,"""Dinda Amelia Ramadhan"" ORCID",research_profile,2024-05-02,BATCH-2018-W23
Q-0000030,ALM-2018-01-006,201801006,Informatika,2018,LinkedIn,"""Dinda Amelia Ramadhan"" ""Engineer"" ""Malang""",career_context,2023-07-05,BATCH-2018-W23
Q-0000031,ALM-2018-01-007,201801007,Informatika,2018,Web Umum,"""Fajar Arif Hidayat"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-09-15,BATCH-2018-W49
Q-0000032,ALM-2018-01-007,201801007,Informatika,2018,Web Umum,"""Fajar Arif Hidayat"" ""Informatika"" ""UMM""",identity_major,2023-02-01,BATCH-2018-W49
Q-0000033,ALM-2018-01-007,201801007,Informatika,2018,Google Scholar,"""Fajar Arif Hidayat"" site:scholar.google.com",academic_profile,2023-11-24,BATCH-2018-W49
Q-0000034,ALM-2018-01-007,201801007,Informatika,2018,ORCID,"""Fajar Arif Hidayat"" ORCID",research_profile,2022-12-10,BATCH-2018-W49
Q-0000035,ALM-2018-01-007,201801007,Informatika,2018,LinkedIn,"""Fajar Arif Hidayat"" ""Analyst"" ""Malang""",career_context,2022-03-09,BATCH-2018-W49
Q-0000036,ALM-2018-01-008,201801008,Informatika,2018,Web Umum,"""Adit Muhammad Santoso"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-07-12,BATCH-2018-W43
Q-0000037,ALM-2018-01-008,201801008,Informatika,2018,Web Umum,"""Adit Muhammad Santoso"" ""Informatika"" ""UMM""",identity_major,2022-09-28,BATCH-2018-W43
Q-0000038,ALM-2018-01-008,201801008,Informatika,2018,Google Scholar,"""Adit Muhammad Santoso"" site:scholar.google.com",academic_profile,2022-01-13,BATCH-2018-W43
Q-0000039,ALM-2018-01-008,201801008,Informatika,2018,ORCID,"""Adit Muhammad Santoso"" ORCID",research_profile,2024-10-16,BATCH-2018-W43
Q-0000040,ALM-2018-01-008,201801008,Informatika,2018,LinkedIn,"""Adit Muhammad Santoso"" ""Analyst"" ""Malang""",career_context,2022-03-12,BATCH-2018-W43
Q-0000041,ALM-2018-01-009,201801009,Informatika,2018,Web Umum,"""Aulia Bagas Sari"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-10-04,BATCH-2018-W28
Q-0000042,ALM-2018-01-009,201801009,Informatika,2018,Web Umum,"""Aulia Bagas Sari"" ""Informatika"" ""UMM""",identity_major,2024-11-16,BATCH-2018-W28
Q-0000043,ALM-2018-01-009,201801009,Informatika,2018,Google Scholar,"""Aulia Bagas Sari"" site:scholar.google.com",academic_profile,2024-09-26,BATCH-2018-W28
Q-0000044,ALM-2018-01-009,201801009,Informatika,2018,ORCID,"""Aulia Bagas Sari"" ORCID",research_profile,2022-06-02,BATCH-2018-W28
Q-0000045,ALM-2018-01-009,201801009,Informatika,2018,LinkedIn,"""Aulia Bagas Sari"" ""Analyst"" ""Malang""",career_context,2023-03-01,BATCH-2018-W28
Q-0000046,ALM-2018-01-010,201801010,Informatika,2018,Web Umum,"""Fitri Yusuf Santoso"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-10-23,BATCH-2018-W31
Q-0000047,ALM-2018-01-010,201801010,Informatika,2018,Web Umum,"""Fitri Yusuf Santoso"" ""Informatika"" ""UMM""",identity_major,2025-05-25,BATCH-2018-W31
Q-0000048,ALM-2018-01-010,201801010,Informatika,2018,Google Scholar,"""Fitri Yusuf Santoso"" site:scholar.google.com",academic_profile,2023-09-28,BATCH-2018-W31
Q-0000049,ALM-2018-01-010,201801010,Informatika,2018,ORCID,"""Fitri Yusuf Santoso"" ORCID",research_profile,2025-06-23,BATCH-2018-W31
Q-0000050,ALM-2018-01-010,201801010,Informatika,2018,LinkedIn,"""Fitri Yusuf Santoso"" ""Engineer"" ""Malang""",career_context,2023-04-16,BATCH-2018-W31
Q-0000051,ALM-2018-01-011,201801011,Informatika,2018,Web Umum,"""Rizky Siti Pratama"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-08-11,BATCH-2018-W32
Q-0000052,ALM-2018-01-011,201801011,Informatika,2018,Web Umum,"""Rizky Siti Pratama"" ""Informatika"" ""UMM""",identity_major,2023-08-07,BATCH-2018-W32
Q-0000053,ALM-2018-01-011,201801011,Informatika,2018,Google Scholar,"""Rizky Siti Pratama"" site:scholar.google.com",academic_profile,2024-05-26,BATCH-2018-W32
Q-0000054,ALM-2018-01-011,201801011,Informatika,2018,ORCID,"""Rizky Siti Pratama"" ORCID",research_profile,2023-05-28,BATCH-2018-W32
Q-0000055,ALM-2018-01-011,201801011,Informatika,2018,LinkedIn,"""Rizky Siti Pratama"" ""Consultant"" ""Malang""",career_context,2023-08-08,BATCH-2018-W32
